subject,concept_mae_mask,seq_acc_mask,ind_acc_mask,concept_mae_nomask,seq_acc_nomask,ind_acc_nomask,bb_acc
1,0.18340912461280823,0.9373219609260559,0.8917378783226013,0.14823168516159058,0.938746452331543,0.945868968963623,0.8176637887954712
2,0.18861864507198334,0.8081805109977722,0.8913963437080383,0.125839963555336,0.7616360783576965,0.7616360783576965,0.8956276178359985
3,0.11833732575178146,0.8271954655647278,0.8144475817680359,0.11902560293674469,0.8059490323066711,0.8045325875282288,0.8512747883796692
4,0.1607975959777832,0.8014184236526489,0.8340425491333008,0.162748783826828,0.8865247964859009,0.8992908000946045,0.8468084931373596
5,0.34986355900764465,0.5937961339950562,0.5347119569778442,0.08466369658708572,0.9926144480705261,0.9010339975357056,0.9940915703773499
6,0.16180798411369324,0.9004665613174438,0.9035769701004028,0.1650504171848297,0.8958009481430054,0.8818040490150452,0.7387247085571289
7,0.16103672981262207,0.9853801131248474,0.890350878238678,0.1228906512260437,0.969298243522644,0.9751461744308472,0.7953216433525085
8,0.23710767924785614,0.7714285850524902,0.8751879930496216,0.14734728634357452,0.9639097452163696,0.9639097452163696,0.7879699468612671
9,0.09204086661338806,0.9591836929321289,0.975218653678894,0.06797318160533905,0.991253674030304,0.991253674030304,0.9897959232330322
10,0.14519159495830536,0.9523809552192688,0.9151785969734192,0.08247548341751099,0.9791666865348816,0.976190447807312,0.9717261791229248
